DS_PS_Ids	DS_PS_LFC	DS_PS_Genus	AN_PS_Ids	AN_PS_LFC	AN_PS_Genus	DS_Ne_IDs	DS_Ne_LFC	DS_Ne_Genus	AN_Ne_IDs	AN_Ne_LFC	AN_Ne_Genus	DS_Ba_IDs	DS_Ba_LFC	DS_Ba_Genus	AN_Ba_IDs	AN_Ba_LFC	AN_Ba_Genus
613	7.535299889	Serratia	34073	4.410236676	Variovorax	281120	5.923698413	Candidatus Amoebophilus	2713573	3.610312979	Sphingobacterium	1914861	5.765169006	Enterobacter	379	3.771277711	Rhizobium
358	6.965811756	Agrobacterium	358	4.365957041	Agrobacterium	2735868	5.692825916	Exiguobacterium	2735868	3.115016054	Exiguobacterium	40323	5.634256015	Stenotrophomonas	40323	3.769918741	Stenotrophomonas
34073	6.828826858	Variovorax	613	4.145287458	Serratia	40323	5.642766439	Stenotrophomonas	1721091	3.068260548	Chryseobacterium	1721091	5.40471022	Chryseobacterium	2735868	3.528020661	Exiguobacterium
158822	6.482596158	Cedecea	40323	3.971809066	Stenotrophomonas	91604	5.532751435	Candidatus Paracaedibacter	399	3.046556127	Neorhizobium	2283160	5.059061777	Psychrobacillus	2714951	3.383304121	Leclercia
562	6.450106902	Escherichia	562	3.935419035	Escherichia	2283160	5.182610572	Psychrobacillus	2283160	2.834505955	Psychrobacillus	281120	4.999227276	Candidatus Amoebophilus	1914861	3.248379362	Enterobacter
544	6.409266789	Citrobacter	544	3.911314845	Citrobacter	399	4.802292283	Neorhizobium	2766984	2.751495623	Pedobacter	80865	4.659272813	Delftia	80865	3.071959462	Delftia
40323	6.33252687	Stenotrophomonas	94254	3.842861503	Dyadobacter	2714951	4.583774568	Leclercia	69	2.7042996	Lysobacter	983544	4.590040953	Lacinutrix	399	3.030835246	Neorhizobium
1972431	6.272028327	Phytobacter	83655	3.793315815	Leclercia	69	4.516466999	Lysobacter	879274	2.626286929	Shinella	1619313	4.576748783	Erwinia	2713573	2.870921058	Sphingobacterium
1330547	6.232882748	Kosakonia	1330547	3.793104464	Kosakonia	2766984	4.356928308	Pedobacter	1842534	2.323823486	Sinorhizobium	399	4.576584844	Neorhizobium	1619313	2.678094247	Erwinia
2735868	6.225597919	Exiguobacterium	1972431	3.78300984	Phytobacter	879274	4.314010976	Shinella	1790137	2.219427612	Wenyingzhuangia	1850246	4.553465201	Urechidicola	879274	2.668157006	Shinella
